Date,Project,Account,Detail,Amount
2017-11-29,Ñuñoa,Servicios Básicos,METROGAS S.A.,302651
2017-11-29,Ñuñoa,Servicios Básicos,METROGAS S.A.,188989
2017-11-29,Ñuñoa,Servicios Básicos,Cancelar entrada para número de pago 36168,-302651
2017-11-29,Ñuñoa,Servicios Básicos,Cancelar entrada para número de pago 36168,-188989
2017-11-30,Ñuñoa,Servicios Básicos,METROGAS S.A.,302651
2017-11-30,Ñuñoa,Servicios Básicos,METROGAS S.A.,162825
2017-12-13,Ñuñoa,Servicios Básicos,CP-11015024-METROGAS S.A,11982
2017-12-13,Ñuñoa,Servicios Básicos,Pagos efectuados - 6101027,23301
2018-01-25,Ñuñoa,Subcontratos,FE-110-EDUARDO ANDRES PALMA LATORRE,5121402
2018-01-31,Ñuñoa,Gastos por Arriendos Operacionales,FE-2519-IGMA RESIDUOS LTDA,120000
2018-01-31,Ñuñoa,Gastos por Arriendos Operacionales,FE-110958-TECNO FAST S.A.,130000
2018-01-31,Ñuñoa,Telecomunicaciones y Alarmas,FE-9235072-ADT SECURITY SERVICES S.A.,48235
2018-02-08,Ñuñoa,Gastos por Herramientas Menores,FE-14392-ULMA CHILE ANDAMIOS Y MOLDAJES,3480620
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,141865
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,262171
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,851792
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,Cancelar entrada para número de pago 37674,-141865
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,Cancelar entrada para número de pago 37674,-262171
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,Cancelar entrada para número de pago 37674,-851792
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,141865
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,262171
2018-02-12,Ñuñoa,Materias Primas de Obras en Ejecución,TESORERO MUNICIPAL DE NUÑOA,851792
2018-02-19,Ñuñoa,Subcontratos,FE-112-EDUARDO ANDRES PALMA LATORRE,1792489
2018-02-19,Ñuñoa,Subcontratos,FE-113-EDUARDO ANDRES PALMA LATORRE,768210
2018-02-28,Ñuñoa,Materias Primas de Obras en Ejecución,FE-30405-CREATTIVA INTERNET LIMITADA,57984
2018-02-28,Ñuñoa,Gastos por Arriendos Operacionales,FE-113272-TECNO FAST S.A.,130000
2018-02-28,Ñuñoa,Gastos por Arriendos Operacionales,FE-2572-IGMA RESIDUOS LTDA,45000
2018-02-28,Ñuñoa,Gastos por Arriendos Operacionales,TRANSPORTES Const.,538474
2018-03-08,Ñuñoa,Gastos por Arriendos Operacionales,FE-2579-IGMA RESIDUOS LTDA,75000
2018-03-15,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1015-SERV. INT. INFORMATICOS Y TRANSPORTES FANN,2559400
2018-03-19,Ñuñoa,Materias Primas de Obras en Ejecución,FE-30686-CREATTIVA INTERNET LIMITADA,61098
2018-03-21,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1976-ASI LTDA.,195000
2018-03-23,Ñuñoa,Servicios Básicos,ENEL DISTRIBUCION CHILE S.A.,577631
2018-03-27,Ñuñoa,Subcontratos,FE-1-ATON CONSTRUCCIONES SPA,16486513
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,13663
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,15075
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,6422
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,357933
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Horas Extras,6424
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,91089
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Colación,8667
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Movilización,6933
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,22892
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,25257
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,10759
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,393466
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Horas Extras,17173
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,152615
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Bono Producción G.,199820
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Colación,26001
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Movilización,20799
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,9665
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,10663
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,4542
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,154266
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,64431
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Bono Producción G.,103457
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Colación,8667
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Movilización,6933
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,36592
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,40373
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,17198
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,1110486
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,109250
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Colación,13333
2018-03-29,Ñuñoa,Remuneraciones Operacionales,Movilización,10667
2018-03-29,Ñuñoa,Gastos por Arriendos Operacionales,FE-2658-IGMA RESIDUOS LTDA,120000
2018-03-29,Ñuñoa,Gastos por Arriendos Operacionales,FE-1996-ASI LTDA.,70000
2018-03-29,Ñuñoa,Gastos por Arriendos Operacionales,TRANSPORTES Const. LTDA.,373669
2018-03-29,Ñuñoa,Gastos por Herramientas Menores,FE-1995-ASI LTDA.,592875
2018-03-29,Ñuñoa,Insumos Administración,FE-1027546-ING. Y CONSTRUCCION RICARDO RODRIGUEZ Y,96000
2018-03-29,Ñuñoa,Insumos Administración,FE-3817-HECTOR URBINA PAREDES,95100
2018-03-31,Ñuñoa,Materias Primas de Obras en Ejecución,FE-625-TRANSPORTE DE CARGA JANINA ROJAS P. E.I.R.L,80000
2018-03-31,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99147-COMERCIAL A Y B LTDA.,8774135
2018-03-31,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99148-COMERCIAL A Y B LTDA.,6681845
2018-03-31,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99209-COMERCIAL A Y B LTDA.,5663830
2018-03-31,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99210-COMERCIAL A Y B LTDA.,9972085
2018-03-31,Ñuñoa,Gastos por Arriendos Operacionales,TRANSPORTES Const. LTDA.,2732194
2018-03-31,Ñuñoa,Gastos por Arriendos Operacionales,TRANSPORTES Const. LTDA.(Anulación) - 1211626,-2732194
2018-03-31,Ñuñoa,Gastos por Arriendos Operacionales,FE-625-TRANSPORTE DE CARGA JANINA ROJAS P. E.I.R.L,108000
2018-03-31,Ñuñoa,Gastos por Arriendos Operacionales,FE-115587-TECNO FAST S.A.,130000
2018-03-31,Ñuñoa,Gastos por Arriendos Operacionales,FE-2474-MADEMAQ CHILE LIMITADA,360000
2018-03-31,Ñuñoa,Telecomunicaciones y Alarmas,FE-9291746-ADT SECURITY SERVICES S.A.,26670
2018-03-31,Ñuñoa,Telecomunicaciones y Alarmas,FE-9318375-ADT SECURITY SERVICES S.A.,241176
2018-04-01,Ñuñoa,Subcontratos,FE-311-FRANCISCO FERNANDO CABEZAS RODRIGUEZ SEGURI,1420000
2018-04-01,Ñuñoa,Subcontratos,FE-313-FRANCISCO FERNANDO CABEZAS RODRIGUEZ SEGURI,1420000
2018-04-04,Ñuñoa,Materias Primas de Obras en Ejecución,FE-31085-CREATTIVA INTERNET LIMITADA,62016
2018-04-05,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1039-SERV. INT. INFORMATICOS Y TRANSPORTES FANN,161400
2018-04-11,Ñuñoa,Materias Primas de Obras en Ejecución,FE-657-TRANSPORTE DE CARGA JANINA ROJAS P. E.I.R.L,1452900
2018-04-11,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99510-COMERCIAL A Y B LTDA.,60000
2018-04-11,Ñuñoa,Subcontratos,FE-2-ATON CONSTRUCCIONES SPA,14150037
2018-04-11,Ñuñoa,Gastos por Arriendos Operacionales,FE-2703-IGMA RESIDUOS LTDA,80004
2018-04-12,Ñuñoa,Materias Primas de Obras en Ejecución,FE-92273-LUREYE ARRIENDOS LTDA.,135000
2018-04-12,Ñuñoa,Gastos por Arriendos Operacionales,FE-92273-LUREYE ARRIENDOS LTDA.,235000
2018-04-16,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1191-ANGEL ESPINOZA VARAS Y CIA LTDA,1078748
2018-04-17,Ñuñoa,Materias Primas de Obras en Ejecución,FE-125-EDUARDO ANDRES PALMA LATORRE,600000
2018-04-17,Ñuñoa,Materias Primas de Obras en Ejecución,FE-126-EDUARDO ANDRES PALMA LATORRE,300000
2018-04-17,Ñuñoa,Insumos Administración,FE-1032746-ING. Y CONSTRUCCION RICARDO RODRIGUEZ Y,229000
2018-04-17,Ñuñoa,Insumos Administración,FE-1034479-ING. Y CONSTRUCCION RICARDO RODRIGUEZ Y,148000
2018-04-18,Ñuñoa,Materias Primas de Obras en Ejecución,FE-15727-PC EXPRESS,250224
2018-04-19,Ñuñoa,Materias Primas de Obras en Ejecución,FE-173696-HORMIGONES BICENTENARIO S.A.,2857142
2018-04-19,Ñuñoa,Materias Primas de Obras en Ejecución,FE-173635-HORMIGONES BICENTENARIO S.A.,2683341
2018-04-19,Ñuñoa,Insumos Administración,FE-1036039-ING. Y CONSTRUCCION RICARDO RODRIGUEZ Y,124000
2018-04-19,Ñuñoa,Telecomunicaciones y Alarmas,FE-35590948-ENTEL PCS TELECOMUNICACIONES SA.,77294
2018-04-20,Ñuñoa,Materias Primas de Obras en Ejecución,PREVENCION DE RIESGOS,109852
2018-04-23,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99509-COMERCIAL A Y B LTDA.,2488543
2018-04-25,Ñuñoa,Materias Primas de Obras en Ejecución,FE-175417-HORMIGONES BICENTENARIO S.A.,7188564
2018-04-25,Ñuñoa,Materias Primas de Obras en Ejecución,FE-175812-HORMIGONES BICENTENARIO S.A.,7677815
2018-04-25,Ñuñoa,Materias Primas de Obras en Ejecución,FE-15803-PC EXPRESS,39156
2018-04-26,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1-MARCO A. CAMPOS LETELIER,1480000
2018-04-26,Ñuñoa,Subcontratos,FE-3-ATON CONSTRUCCIONES SPA,4884979
2018-04-26,Ñuñoa,Subcontratos,FE-138-ARRIENDO DE MAQUINARIA Y MOVIMIENTO DE TIER,24800000
2018-04-30,Ñuñoa,Materias Primas de Obras en Ejecución,FE-31206-CREATTIVA INTERNET LIMITADA,4880
2018-04-30,Ñuñoa,Materias Primas de Obras en Ejecución,FE-118449-TECNO FAST S.A.,445000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,53249
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,58752
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,25027
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,1665730
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,109250
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,20000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,16000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,35179
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,38814
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,16534
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,941461
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Horas Extras,58580
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,109250
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Bono Producción G.,63339
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,20000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,16000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,149235
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,139978
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,59628
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,6685913
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,218500
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,40000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,32000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,21788
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,24039
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,10240
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,585150
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Horas Extras,31858
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,109250
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,20000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,16000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización II,10000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,34564
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,38135
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,16245
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,510266
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Horas Extras,55378
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,182669
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Bono Producción G.,403811
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,28667
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,22933
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,26383
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,29110
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,12400
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,770195
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,109250
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,20000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,16000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,79762
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,88005
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,37489
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,1407066
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,510310
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,92667
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,74133
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Horas Extras,170099
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Bono Producción G.,571301
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Sueldo Base,826000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Gratificación Legal,109250
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Bono Producción G.,63546
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Colación,20000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Movilización,16000
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador Seg de Cesant,29964
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Mutual de Seguridad,33060
2018-04-30,Ñuñoa,Remuneraciones Operacionales,Aporte Empleador S.I.S.,14083
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,-1500000
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,-1420000
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,-1500000
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,-1420000
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,1500000
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,1420000
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,1500000
2018-04-30,Ñuñoa,Subcontratos,Ajte F.310-311-312-313 Franc Cabezas Pagadas 12/18,1420000
2018-04-30,Ñuñoa,Subcontratos,Notas de crédito acreedores - P76419725,-1420000
2018-04-30,Ñuñoa,Subcontratos,Notas de crédito acreedores - P76419725,-1420000
2018-04-30,Ñuñoa,Gastos por Arriendos Operacionales,FE-2756-IGMA RESIDUOS LTDA,158000
2018-04-30,Ñuñoa,Gastos por Arriendos Operacionales,FE-118449-TECNO FAST S.A.,628340
2018-04-30,Ñuñoa,Gastos por Arriendos Operacionales,FE-118875-TECNO FAST S.A.,130000
2018-04-30,Ñuñoa,Gastos por Arriendos Operacionales,TRANSPORTES Const. LTDA.,3998571
2018-04-30,Ñuñoa,Insumos Administración,FE-10063795-PROVEEDORES INTEGRALES PRISA S.A.,98751
2018-04-30,Ñuñoa,Insumos Administración,FE-22478-COMERCIAL NEWSEG LTDA.,27000
2018-04-30,Ñuñoa,Telecomunicaciones y Alarmas,FE-61596605-TELEFONICA MOVIL CHILE S.A.,24701
2018-04-30,Ñuñoa,Telecomunicaciones y Alarmas,FE-9361310-ADT SECURITY SERVICES S.A.,35286
2018-05-02,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99906-COMERCIAL A Y B LTDA.,3189845
2018-05-02,Ñuñoa,Materias Primas de Obras en Ejecución,FE-99905-COMERCIAL A Y B LTDA.,2219360
2018-05-03,Ñuñoa,Materias Primas de Obras en Ejecución,FE-31463-CREATTIVA INTERNET LIMITADA,62832
2018-05-07,Ñuñoa,Materias Primas de Obras en Ejecución,FE-3668-DUARTE   DUARTE COMBUST. LTDA.,67948
2018-05-07,Ñuñoa,Gastos por Herramientas Menores,FE-2203-ANGELA M. PONCE FREDES,65700
2018-05-09,Ñuñoa,Materias Primas de Obras en Ejecución,fe-179657-HORMIGONES BICENTENARIO S.A.,461779
2018-05-09,Ñuñoa,Materias Primas de Obras en Ejecución,FE-1151-LUIS ALBERTO QUINTEROS ROJAS,60000
2018-05-10,Ñuñoa,Materias Primas de Obras en Ejecución,CAJA CHICA Ñuñoa II,215052
2018-05-10,Ñuñoa,Materias Primas de Obras en Ejecución,FE-4201194-ELECTRICIDAD GOBANTES S.A.,7889
2018-05-10,Ñuñoa,Materias Primas de Obras en Ejecución,FE-18873-BARRENA HERMANOS Y CIA. LTDA.,13265
2018-05-10,Ñuñoa,Materias Primas de Obras en Ejecución,FE-663-SONIA ISABEL LATORRE VALDES,52101
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,347250
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,433362
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,372398
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,707609
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,133274
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,956795
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,260348
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,204605
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,36428
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,1186874
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,62426
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,457859
2018-05-15,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,231639
2018-05-15,Ñuñoa,Telecomunicaciones y Alarmas,FE-61847086-,71924
2018-05-16,Ñuñoa,Materias Primas de Obras en Ejecución,FE-34532-CONTENEDORES PATAGONIA S.P.A.,240000
2018-05-16,Ñuñoa,Subcontratos,FE-4-ATON CONSTRUCCIONES SPA,4303424
2018-05-16,Ñuñoa,Subcontratos,FE-140-ARRIENDO DE MAQUINARIA Y MOVIMIENTO DE TIER,24800021
2018-05-16,Ñuñoa,Gastos por Arriendos Operacionales,FE-34532-CONTENEDORES PATAGONIA S.P.A.,125000
2018-05-17,Ñuñoa,Materias Primas de Obras en Ejecución,MANUEL CP CAMMAS MONTES,260000
2018-05-17,Ñuñoa,Gastos por Herramientas Menores,FE-2268-ANGELA M. PONCE FREDES,131710
2018-05-18,Ñuñoa,Insumos Administración,FE-4101-HECTOR URBINA PAREDES,39000
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,93130
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,401287
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,120520
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,360100
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,491400
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,1451741
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,673650
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,1250000
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,1004250
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,2427513
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,298035
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,675148
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,FE-3-MARCO A. CAMPOS LETELIER,940000
2018-05-22,Ñuñoa,Materias Primas de Obras en Ejecución,FE-59-PERFOMAN SPA,505000
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,1258300
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,138575
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,544432
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,447950
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,59375
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,419900
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,474714
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,71839
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,16625
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,446880
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,392254
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,91574
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,90478
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,430000
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,701507
2018-05-23,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,83831
2018-05-23,Ñuñoa,Gastos por Arriendos Operacionales,FE-2537-MADEMAQ CHILE LIMITADA,888000
2018-05-23,Ñuñoa,Insumos Administración,FE-1042165-ING. Y CONSTRUCCION RICARDO RODRIGUEZ Y,168000
2018-05-24,Ñuñoa,Insumos Administración,FE-4131-HECTOR URBINA PAREDES,26000
2018-05-25,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,47778
2018-05-25,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,135919
2018-05-25,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,48923
2018-05-25,Ñuñoa,Materias Primas de Obras en Ejecución,FERNANDO CELIS URRUTIA,170900
2018-05-28,Ñuñoa,Materias Primas de Obras en Ejecución,FE-179931-HORMIGONES BICENTENARIO S.A.,3483060
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,24456
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,345036
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,228560
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,155541
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,195548
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,72662
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,134911
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,148437
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,83612
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,24456
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,60787
2018-05-29,Ñuñoa,Materias Primas de Obras en Ejecución,Edificio Ñuñoa II,65537
2018-05-30,Ñuñoa,Insumos Administración,FE-10153601-PROVEEDORES INTEGRALES PRISA S.A.,37082
2018-05-30,Ñuñoa,Seguros y Similares,FE-5178766-HDI SEGUROS S.A.,12376531
2018-05-31,Ñuñoa,Materias Primas de Obras en Ejecución,FE-19211-BARRENA HERMANOS Y CIA. LTDA.,24982
2018-05-31,Ñuñoa,Materias Primas de Obras en Ejecución,FE-90791842-SODIMAC S.A.,27849
